TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
131,20239.10803,0.474612116,1.45041755,0.507246615,39.8712038,50.65857121,0,0.688207567,54.21327696
132,20377.42207,0.475843399,1.453318389,0.506880333,39.91595012,50.66413911,0,1.486304662,54.09581947
133,20472.67973,0.476785718,1.455972621,0.50483935,39.98864031,50.6781942,0,1.443564642,54.04115572
134,20623.13295,0.477136018,1.468554785,0.505284571,39.93089667,50.68978886,0,1.021164651,53.88855006
135,20739.95003,0.477413478,1.475530308,0.505811532,39.68953275,50.70068248,0,1.14817839,53.78228592
136,20836.16659,0.477739761,1.479846926,0.50462392,39.82496262,50.71182546,0,1.296073262,53.70282476
137,21009.24293,0.477770041,1.496378432,0.505596307,39.67206196,50.7269851,0,1.060230188,53.48931108
138,21116.51694,0.477871507,1.501529738,0.503941798,39.81083922,50.74273935,0,1.304935038,53.37421558
139,21122.60361,0.477656632,1.494064235,0.505875181,39.84643024,50.75879728,0,0.962622947,53.42063027
140,21018.75523,0.477980206,1.478117544,0.503171378,39.77612392,50.77995478,0,1.420280736,53.64958734
141,20905.65071,0.477818532,1.467349323,0.501923069,39.77078859,50.80051135,0,0.842886682,53.90059294
142,20897.30071,0.477460687,1.472397842,0.500704895,39.43422187,50.81743476,0,0.578835472,53.98452569
143,21021.96201,0.476815384,1.490260059,0.498196832,39.30555691,50.8300425,0,0.314714079,53.84766203
144,21069.6785,0.475637645,1.489534233,0.496082281,39.14914491,50.84196431,0.246977065,0,53.83085624
145,21121.84104,0.474350298,1.490023585,0.492040252,39.09432934,50.85845997,0.733725699,0,53.80359834
146,21255.04666,0.472517227,1.503968168,0.488318818,39.0490119,50.8814568,1.666750744,0,53.63814636
147,21341.89905,0.47018733,1.508358667,0.490040107,39.29907669,50.90187649,2.549712813,0,53.54130099
148,21356.4229,0.468692828,1.503333149,0.489181395,38.9762752,50.92235918,2.225808642,0,53.55925177
149,21303.05021,0.467404637,1.493778197,0.48960318,38.71376344,50.94783186,2.474227486,0,53.68925286
150,21264.93703,0.466529993,1.490645455,0.489655502,38.57811391,50.97286312,2.43861737,0,53.79727798
151,21286.80908,0.465824431,1.49600376,0.490647811,38.68300393,50.99531667,2.48400115,0,53.80792691
152,21199.74765,0.46538493,1.483466551,0.491533337,38.52934981,51.0153508,2.317130291,0,53.99844135
153,21050.34501,0.46533626,1.46578182,0.492082754,38.57520715,51.03630021,2.168881269,0,54.2982635
154,20994.31966,0.465510659,1.465171686,0.493029551,38.39084799,51.06045691,2.091554303,0,54.45226759
155,21066.27902,0.465746561,1.478509686,0.492666255,38.27938001,51.08016205,1.921596559,0,54.39689076
156,21161.56646,0.465711271,1.487140353,0.493740488,38.40509841,51.09607434,2.041857217,0,54.29809061
157,21262.91454,0.46586581,1.493156602,0.490569113,38.10104357,51.11567712,1.839953161,0,54.18310716
158,21413.74532,0.465345162,1.505990696,0.487877936,38.1805464,51.14145016,2.589525648,0,53.9792982
159,21574.76558,0.464312778,1.518871237,0.4916752,38.65528263,51.1689294,3.248255972,0,53.74888079
160,21711.70256,0.464201005,1.527653817,0.489191559,38.79085653,51.19725453,2.458644211,0,53.54823265
161,21788.04323,0.463614403,1.529543805,0.490619709,38.36436834,51.22918362,3.064491661,0,53.43965281
162,21793.52502,0.463474666,1.525301471,0.491690757,38.43234101,51.26353158,2.801890193,0,53.44409636
163,21777.21918,0.463641231,1.522500016,0.493109797,38.62714038,51.29865653,2.611960551,0,53.48444367
164,21796.00769,0.464074611,1.526733535,0.494173631,39.01111823,51.33283604,2.337667797,0,53.46743756
165,21850.74811,0.46458517,1.534382399,0.494933446,39.1543268,51.36521363,2.135669497,0,53.38940501
166,21969.86646,0.465094444,1.548379727,0.495244576,39.20110255,51.39754881,1.996376176,0,53.2007442
167,22037.5018,0.465479951,1.551600505,0.496719625,38.91824477,51.43236483,1.954082402,0,53.09012753
168,22047.13059,0.466122782,1.547747131,0.496474762,38.93325662,51.46982996,1.647613586,0,53.07170511
169,22092.08589,0.466652655,1.553218498,0.496825693,38.8035387,51.5113493,1.720872291,0,52.99388315
170,22013.72158,0.46709554,1.541090124,0.496339124,38.90787332,51.55221454,1.661126265,0,53.11838785
171,21938.9587,0.467479667,1.533483879,0.497977351,39.31122589,51.59135558,1.788306248,0,53.24191512
172,21780.79536,0.468135293,1.517072578,0.495816122,39.13461752,51.63315542,1.439020875,0,53.50900555
173,21647.38448,0.468324488,1.506637468,0.496085321,39.04862277,51.67074572,1.937502598,0,53.74503035
